rank,handle,A,B,C,D,E,total
1,phillip102,90.0,100.0,47.0,32.0,75.0,344.0
2,tootienPEKORA,100.0,100.0,100.0,32.0,0.0,332.0
3,chen910606,100.0,100.0,100.0,0,0,300.0
4,BO_U,100.0,100.0,0,32.0,0,232.0
4,YeZ,100.0,100.0,0,32.0,0,232.0
6,aoggg,20.0,100.0,0.0,32.0,0,152.0
6,wertyyuiop,20.0,100.0,0.0,32.0,0,152.0
8,mingchichen,90.0,0,0.0,32.0,0,122.0
9,Gawe,20.0,100.0,0.0,0,0,120.0
10,Ateto,0,100.0,0,0,0,100.0
11,jun-an,20.0,0,0,0,0,20.0
11,meowmeowkong,20.0,0,0,0.0,0,20.0
11,naiye130,20.0,0.0,0,0.0,0,20.0
11,yyc_0314,20.0,0,0,0.0,0,20.0
15,IceXinShou,0.0,0.0,0,0,0,0.0
